"ACT_CUM_75","Adm_Rate","Avg_Cost_Academic_Year","Avg_Cost_Program_Year","Avg_Fac_Sal","City","City_State","COLLEGE","Compl_Repay_1yr_Rate","Compl_Repay_7yr_Rate","CompletionRate_150_4","CompletionRate_150_L4","Control","Highest_Deg","In_state_Tuition","Institution_Name","Lat","Level_of_institution","Locale","Long","Low_Inc_Aid","Main_Campus","Noncom_Repay_1yr_Rate","Noncom_Repay_7yr_Rate","Out_of_state_Tuition","Parent_Ed_HS","Parent_Ed_MS","Parent_Ed_PS","Percent_2OrMore","Percent_AIAN","Percent_Asian","Percent_Black","Percent_Female","Percent_First_Gen","Percent_Full_time_Fac","Percent_Hisp","Percent_Male","Percent_NHPI","Percent_NRA","Percent_Part_time","Percent_UNKN","Percent_Veterans","Percent_White","Predominant_Ugrad_Deg","Religious_Affiliation","RetentionRate_FT4","RetentionRate_FTL4","RetentionRate_PT4","RetentionRate_PTL4","SAT_M_75","SAT_R_75","SAT_W_75","State","TIV_Approval_Date","Top3Majors","Undergrad_Enrollment","URL","Zip"
29,0.9624,42998,0,7380,"Lookout_Mountain","Lookout_Mountain_GA",440,0.902439024,0.0,0.6729,0.0,"Private_nonprofit","Graduate_degree",32230,"Covenant_College",34.965161,4,"Rural:_Fringe_(rural_territory_up_to_5_miles_from_an_urbanized_area_or_up_to_2.5_miles_from_an_urban_cluster)",-85.375066,0.141538462,"Yes",0.692946058,0.0,32230,0.0,0.0,0.0,0.0275,0.0,0.0143,0.0275,0.486153846,0.0,1.0,0.0336,0.0,0.002,0.0306,0.0082,0.002,0.0,0.8624,"Predominantly_bachelors-degree_granting","The_Presbyterian_Church_in_America",0.8605,0.0,0.0,0.0,630,670,650,"GA",1965-12-01,"Education,_Developmental_Psychology,_Anatomy",981,"www.covenant.edu",307504164
0,0.5403,41869,0,7326,"Jacksonville","Jacksonville_IL",531,0.76635514,0.914414414,0.68,0.0,"Private_nonprofit","Bachelors_degree",31610,"Illinois_College",39.7313,4,"Town:_Distant_(in_urban_cluster_more_than_10_miles_and_up_to_35_miles_from_an_urbanized_area)",-90.246171,0.277039848,"Yes",0.619512195,0.825688073,31610,0.288617886,0.022357724,0.68902439,0.0368,0.0042,0.0105,0.1176,0.55597723,0.31097561,0.871,0.0924,0.0,0.0011,0.0399,0.0032,0.0,0.0,0.6975,"Predominantly_bachelors-degree_granting","Presbyterian_Church_(USA)",0.7782,0.0,0.0,0.0,0,0,0,"IL",1965-12-01,"Astronomy,_French,_Materials_Science",952,"www.ic.edu",626502299
0,0.0,12624,0,6043,"Ottumwa","Ottumwa_IA",663,0.442307692,0.705357143,0.0,0.3284,"Public","Associate_degree",3960,"Indian_Hills_Community_College",41.045105,2,"Town:_Remote_(in_urban_cluster_more_than_35_miles_from_an_urbanized_area)",-92.394736,0.48,"Yes",0.353010279,0.449866903,5760,0.38490364,0.026766595,0.588329765,0.024,0.0023,0.0112,0.0923,0.509047619,0.411670236,0.2676,0.0578,0.135238095,0.0019,0.0706,0.1912,0.0229,0.007619048,0.7168,"Predominantly_associates-degree_granting","",0.0,0.5374,0.0,0.2449,0,0,0,"IA",1965-08-11,"Physics,_European_History,_Spanish",2578,"www.indianhills.edu",52501
25,0.6345,37172,0,5732,"Grand_Rapids","Grand_Rapids_MI",983,0.66552901,0.756410256,0.5405,0.0,"Private_nonprofit","Graduate_degree",26860,"Cornerstone_University",42.979966,4,"City:_Midsize_(population_of_at_least_100,000_but_less_than_250,000)",-85.595328,0.28802589,"Yes",0.521298174,0.68958544,26860,0.324418605,0.023255814,0.652325581,0.0065,0.0054,0.0129,0.1261,0.652642934,0.347674419,0.9688,0.0436,0.210355987,0.0022,0.0323,0.2656,0.0,0.0,0.771,"Predominantly_bachelors-degree_granting","Interdenominational",0.8157,0.0,0.0,0.0,560,570,0,"MI",1970-12-01,"Forensic_Science,_Applied_Mathematics,_Canadian_Studies",1856,"www.cornerstone.edu",495255897
0,0.0,17504,0,7858,"Alexandria","Alexandria_MN",1028,0.789325843,0.870242215,0.0,0.6102,"Public","Associate_degree",5358,"Alexandria_Technical_&_Community_College",45.873107,2,"Town:_Remote_(in_urban_cluster_more_than_35_miles_from_an_urbanized_area)",-95.372369,0.304347826,"Yes",0.524669073,0.641322314,5358,0.249566724,0.012998267,0.737435009,0.0291,0.0039,0.0045,0.0129,0.45410628,0.262564991,0.6078,0.0375,0.092592593,0.0026,0.0,0.2451,0.011,0.0,0.8984,"Predominantly_associates-degree_granting","",0.0,0.7064,0.0,0.381,0,0,0,"MN",1967-04-13,"Film,_Theology,_Marketing",1546,"www.alextech.edu",56308
25,0.7313,17979,0,6738,"Green_Bay","Green_Bay_WI",2374,0.727392739,0.882803943,0.4888,0.0,"Public","Graduate_degree",7878,"University_of_Wisconsin-Green_Bay",44.532298,4,"City:_Midsize_(population_of_at_least_100,000_but_less_than_250,000)",-87.919973,0.299771167,"Yes",0.550569801,0.780507132,15451,0.348635236,0.014474773,0.636889992,0.0267,0.0123,0.0316,0.0178,0.680396644,0.363110008,0.6879,0.0437,0.11784897,9.0E-4,0.0136,0.2663,0.0015,0.009153318,0.8519,"Predominantly_bachelors-degree_granting","",0.7447,0.0,0.5862,0.0,0,0,0,"WI",1972-07-01,"Spanish,_Biology,_Physics",5509,"www.uwgb.edu",543117001
0,0.0,14686,0,7250,"Aptos","Aptos_CA",114,0.649122807,0.0,0.0,0.2573,"Public","Associate_degree",1456,"Cabrillo_College",36.989448,2,"Suburb:_Midsize_(outside_principal_city,_in_urbanized_area_with_population_of_at_least_100,000_but_less_than_250,000)",-121.924797,0.665754496,"Yes",0.301694915,0.0,5796,0.379112272,0.12845953,0.492428198,0.0537,0.0035,0.0369,0.0102,0.558639562,0.507571802,0.3957,0.4233,0.059812353,0.0021,0.0066,0.6136,0.0107,0.004300235,0.453,"Predominantly_associates-degree_granting","",0.0,0.7349,0.0,0.4853,0,0,0,"CA",1967-05-01,"Ecology,_English,_Industrial_Engineering",10668,"www.cabrillo.edu",95003
0,0.0,11424,0,7240,"Hampton","Hampton_VA",2270,0.478481013,0.774011299,0.0,0.1882,"Public","Associate_degree",4544,"Thomas_Nelson_Community_College",37.063821,2,"City:_Midsize_(population_of_at_least_100,000_but_less_than_250,000)",-76.420046,0.58130716,"Yes",0.215240159,0.44228275,10442,0.362882322,0.027475376,0.609642302,0.058,0.0043,0.0297,0.3549,0.616551417,0.390357698,0.2242,0.0778,0.173098372,0.0039,0.002,0.652,0.0079,0.007584207,0.4616,"Predominantly_associates-degree_granting","",0.0,0.6117,0.0,0.4036,0,0,0,"VA",1970-01-01,"Religious_Studies,_Archeology,_Linguistics",7511,"www.tncc.edu",23666
33,0.2019,61098,0,9549,"Grinnell","Grinnell_IA",661,0.905405405,0.0,0.8578,0.0,"Private_nonprofit","Bachelors_degree",48758,"Grinnell_College",41.747952,4,"Town:_Remote_(in_urban_cluster_more_than_35_miles_from_an_urbanized_area)",-92.722094,0.218604651,"Yes",0.615384615,0.0,48758,0.141463415,0.034146342,0.824390244,0.0465,6.0E-4,0.0785,0.0591,0.534883721,0.175609756,0.7802,0.0754,0.0,0.0,0.1835,0.0024,0.0356,0.0,0.5208,"Predominantly_bachelors-degree_granting","",0.9344,0.0,0.0,0.0,780,750,0,"IA",1990-01-01,"Biology,_French,_Criminology",1657,"www.grinnell.edu",501121690
32,0.4361,60604,0,8800,"Granville","Granville_OH",1631,0.80141844,0.899736148,0.8026,0.0,"Private_nonprofit","Bachelors_degree",48960,"Denison_University",40.071505,4,"Suburb:_Small_(outside_principal_city,_in_urbanized_area_with_population_less_than_100,000)",-82.523272,0.202531646,"Yes",0.623853211,0.735294118,48960,0.142123288,0.029109589,0.828767123,0.0389,4.0E-4,0.0402,0.0663,0.577531646,0.171232877,1.0,0.0946,0.0,9.0E-4,0.0854,9.0E-4,0.0164,0.0,0.6568,"Predominantly_bachelors-degree_granting","",0.8855,0.0,0.0,0.0,700,680,0,"OH",1965-12-01,"Cell_Biology,_Economics,_History",2261,"https://www.denison.edu",43023
0,1.0,29406,0,4177,"Cuthbert","Cuthbert_GA",426,0.534883721,0.648648649,0.0,0.1882,"Private_nonprofit","Associate_degree",15770,"Andrew_College",31.772321,2,"Town:_Distant_(in_urban_cluster_more_than_10_miles_and_up_to_35_miles_from_an_urbanized_area)",-84.795021,0.470779221,"Yes",0.318777293,0.447619048,15770,0.0,0.0,0.67037037,0.0225,0.0,0.0037,0.4869,0.49025974,0.32962963,0.7586,0.0599,0.0,0.0,0.0487,0.0037,0.0037,0.0,0.3745,"Predominantly_associates-degree_granting","United_Methodist",0.0,0.4286,0.0,0.0,0,0,0,"GA",1967-05-01,"Chemistry,_Architecture,_Statistics",267,"www.andrewcollege.edu",398405550
0,0.0,15859,0,8478,"Salinas","Salinas_CA",182,0.0,0.0,0.0,0.3079,"Public","Associate_degree",1420,"Hartnell_College",36.675091,2,"City:_Midsize_(population_of_at_least_100,000_but_less_than_250,000)",-121.666054,0.573692552,"Yes",0.0,0.0,7670,0.388466413,0.259188847,0.35234474,0.015,0.004,0.0493,0.0202,0.562995246,0.64765526,0.3065,0.6303,0.073296355,0.0027,0.0012,0.7012,0.0537,0.005942948,0.2235,"Predominantly_associates-degree_granting","",0.0,0.7648,0.0,0.2558,0,0,0,"CA",1967-05-01,"Nursing,_Economics,_Italian",11473,"www.hartnell.edu",93901
